排名,电影名,年份,国家,类型,导演,演员,评论,评分,评价人数,点击数,名著改编
106,唐伯虎点秋香,1993,中国香港,喜剧爱情古装,李力持-,周星驰/巩俐/陈...,华太师是黄霑，吴镇宇四大才子之一。,8.7,911436人评价,0,1
107,幽灵公主,1997,日本,动画奇幻冒险,宫崎骏,松田洋治/石田百合...,人与自然的战争史诗。,8.9,458873人评价,0,0
108,重庆森林,1994,中国香港,剧情爱情,王家卫,林青霞/金城武...,寂寞没有期限。,8.8,685035人评价,0,1
109,小森林 夏秋篇,2014,日本,剧情,森淳一,桥本爱/三浦贵大...,那些静得只能听见呼吸的日子里，你明白孤独即生活。,9.0,365923人评价,0,0
110,阳光灿烂的日子,1994,中国大陆中国香港,剧情爱情,姜文,夏雨/宁静/陶虹,一场华丽的意淫。,8.8,533162人评价,0,1
111,入殓师,2008,日本,剧情,泷田洋二郎,本木雅弘/...,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.9,547231人评价,0,0
112,爱在黎明破晓前,1995,美国奥地利瑞士,剧情爱情,理查德·林克莱特,伊桑·霍克...,缘分是个连绵词，最美不过一瞬。,8.8,550795人评价,0,1
113,一一,2000,中国台湾日本,剧情爱情家庭,杨德昌,吴念真/李凯莉/金燕玲...,我们都曾经是一一。,9.1,309913人评价,0,1
114,蝙蝠侠：黑暗骑士崛起,2012,美国英国,剧情动作科幻犯罪惊悚,克里斯托弗·诺兰,克里斯蒂安·贝尔...,诺兰就是保证。,8.8,615765人评价,0,0
115,菊次郎的夏天,1999,日本,剧情喜剧,北野武,北野武/关口雄介...,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.8,501448人评价,0,1
116,消失的爱人,2014,美国,剧情犯罪悬疑惊悚,大卫·芬奇,本·阿弗莱克/罗莎蒙...,年度最佳date movie。,8.7,785336人评价,0,0
117,无人知晓,2004,日本,剧情,是枝裕和,柳乐优弥/北浦爱...,我的平常生活就是他人的幸福。,9.1,260903人评价,0,0
118,超能陆战队,2014,美国,喜剧动作科幻动画冒险,唐·霍尔/克里斯·威廉姆斯,斯科特...,Balalala~~~,8.7,868267人评价,0,0
119,小森林 冬春篇,2015,日本,剧情,森淳一,桥本爱/三浦贵大...,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,9.0,326910人评价,0,1
120,哈利·波特与密室,2002,英国美国,奇幻冒险,,丹尼尔·雷德克里夫/艾玛...,魔法的密室之门已打开...,8.8,594725人评价,0,0
121,完美的世界,1993,美国,剧情犯罪,克林特·伊斯特伍德,凯文·科斯特纳...,坏人的好总是比好人的好来得更感人。,9.1,253018人评价,0,0
122,倩女幽魂,1987,中国香港,爱情奇幻武侠古装,程小东-,张国荣/王祖贤...,两张绝世的脸。 ,8.7,633982人评价,0,0
123,侧耳倾听,1995,日本,剧情爱情动画,近藤喜文,本名阳子/小林桂树...,少女情怀总是诗。,8.9,396930人评价,0,0
124,爱在日落黄昏时,2004,美国法国,剧情爱情,理查德·林克莱特,伊桑·霍克...,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.9,454784人评价,0,1
125,借东西的小人阿莉埃蒂,2010,日本,动画奇幻冒险,米林宏昌,志田未来/神木...,曾经的那段美好会沉淀为一辈子的记忆。,8.9,470315人评价,0,1
126,甜蜜蜜,1996,中国香港,剧情爱情,陈可辛,黎明/张曼玉/...,相逢只要一瞬间，等待却像是一辈子。,8.9,447808人评价,0,0
127,萤火之森,2011,日本,剧情爱情动画奇幻,大森贵弘,佐仓绫音/内山昂辉...,触不到的恋人。,8.9,448572人评价,0,0
128,驯龙高手,2010,美国,动画奇幻冒险,迪恩·德布洛斯/克里斯·桑德斯,...,和谐的生活离不开摸头与被摸头。,8.7,655488人评价,0,0
129,幸福终点站,2004,美国,喜剧剧情爱情,史蒂文·斯皮尔伯格,汤姆·汉克斯...,有时候幸福需要等一等。 ,8.8,473834人评价,0,1
130,玛丽和马克思,2009,澳大利亚美国,剧情喜剧动画,亚当·艾略特,托妮·科莱特/菲利...,你是我最好的朋友，你是我唯一的朋友 。,8.9,380208人评价,0,0
131,时空恋旅人,2013,英国,喜剧爱情奇幻,理查德·柯蒂斯,多姆纳尔·格里森...,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,8.8,528008人评价,0,1
132,大鱼,2003,美国,剧情家庭奇幻冒险,蒂姆·波顿,伊万·麦克格雷格/阿...,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.8,495019人评价,0,0
133,告白,2010,日本,剧情悬疑,中岛哲也,松隆子/冈田将生...,没有一人完全善，也没有一人完全恶。,8.8,601139人评价,0,1
134,怪兽电力公司,2001,美国,儿童喜剧动画奇幻冒险,彼特·道格特/大卫·斯沃曼,约...,不要给它起名字，起了名字就有感情了。,8.7,566563人评价,0,0
135,阳光姐妹淘,2011,韩国,剧情喜剧,姜炯哲-,沈恩京-/闵孝琳...,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8,532493人评价,0,1
136,射雕英雄传之东成西就,1993,中国香港,喜剧奇幻武侠古装,刘镇伟,梁朝伟/林青霞...,百看不厌。 ,8.7,554321人评价,0,0
137,神偷奶爸,2010,美国法国,喜剧动画冒险,皮艾尔·柯芬/克里斯·雷纳德,...,"""Mr. I Dont Care其实也有Care的时候。""",8.6,830371人评价,0,1
138,傲慢与偏见,2005,法国英国美国,剧情爱情,乔·怀特,凯拉·奈特莉/马修·...,爱是摈弃傲慢与偏见之后的曙光。,8.7,674608人评价,0,1
139,教父3,1990,美国,剧情犯罪,弗朗西斯·福特·科波拉,阿尔·帕西诺...,任何信念的力量，都无法改变命运。,9.0,307703人评价,0,1
