排名,电影名,年份,国家,类型,导演,演员,评论,评分,评价人数,点击数,名著改编
27,末代皇帝,1987,英国意大利中国大陆法国,剧情传记历史,贝纳尔多·贝托鲁奇,尊龙/陈...,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,9.3,717257人评价,0,0
28,蝙蝠侠：黑暗骑士,2008,美国英国,剧情动作科幻犯罪惊悚,克里斯托弗·诺兰,克里斯蒂安·贝尔...,无尽的黑暗。,9.2,902484人评价,0,0
29,寻梦环游记,2017,美国,喜剧动画奇幻音乐,李·昂克里奇/阿德里安·莫利纳,...,死亡不是真的逝去，遗忘才是永恒的消亡。,9.1,1388223人评价,0,1
30,活着,1994,中国大陆中国香港,剧情历史家庭,张艺谋,葛优/巩俐/姜武,张艺谋最好的电影。,9.3,703285人评价,0,0
31,指环王3：王者无敌,2003,美国新西兰,剧情动作奇幻冒险,彼得·杰克逊,伊利亚·伍德/西恩...,史诗的终章。,9.3,688675人评价,0,0
32,哈利·波特与魔法石,2001,美国英国,奇幻冒险,,//,童话世界的开端。,9.1,961409人评价,0,1
33,乱世佳人,1939,美国,剧情历史爱情战争,维克多·弗莱明/乔治·库克,费...,Tomorrow is another day.,9.3,595659人评价,0,1
34,何以为家,2018,黎巴嫩美国法国塞浦路斯卡塔尔英国,剧情,娜丁·拉巴基,扎因·拉费阿-/...,凝视卑弱生命，用电影改变命运。,9.1,882063人评价,0,1
35,素媛,2013,韩国,剧情,李濬益-,薛景求-/严志媛-...,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.3,577902人评价,0,0
36,飞屋环游记,2009,美国,剧情喜剧动画冒险,彼特·道格特/鲍勃·彼德森,爱德...,最后那些最无聊的事情，才是最值得怀念的。 ,9.1,1147611人评价,0,1
37,摔跤吧！爸爸,2016,印度,剧情传记运动家庭,涅提·蒂瓦里,阿米尔·汗/法缇玛...,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.0,1361354人评价,0,1
38,十二怒汉,1957,美国,剧情,,亨利·方达/马丁·鲍尔萨姆...,1957年的理想主义。 ,9.4,402497人评价,0,0
39,哈尔的移动城堡,2004,日本,动画奇幻冒险,宫崎骏,倍赏千惠子/木村拓...,带着心爱的人在天空飞翔。,9.1,862752人评价,0,1
40,我不是药神,2018,中国大陆,剧情喜剧,文牧野,徐峥/王传君/周...,对我们国家而言，这样的电影多一部是一部。,9.0,1810977人评价,0,0
41,少年派的奇幻漂流,2012,美国中国台湾英国加拿大,剧情奇幻冒险,李安,苏拉·沙玛/伊尔凡·可汗...,瑰丽壮观、无人能及的冒险之旅。,9.1,1189855人评价,0,1
42,鬼子来了,2000,中国大陆,剧情喜剧,姜文,姜文/香川照之/...,对敌人的仁慈，就是对自己残忍。,9.3,532707人评价,0,0
43,大话西游之月光宝盒,1995,中国香港中国大陆,喜剧爱情奇幻古装,刘镇伟,周星驰/吴孟达...,旷古烁今。,9.0,1059218人评价,0,1
44,天空之城,1986,日本,动画奇幻冒险,宫崎骏,田中真弓/横泽启子...,对天空的追逐，永不停止。 ,9.1,717218人评价,1,1
45,天堂电影院,1988,意大利法国,剧情爱情,朱塞佩·托纳多雷,菲利普·努瓦雷...,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.2,592284人评价,0,0
46,猫鼠游戏,2002,美国加拿大,传记犯罪剧情,史蒂文·斯皮尔伯格,莱昂纳多·迪卡普里奥...,骗子大师和执著警探的你追我跑故事。 ,9.1,798944人评价,0,1
47,闻香识女人,1992,美国,剧情,马丁·布莱斯,阿尔·帕西诺/克里斯...,史上最美的探戈。,9.1,743957人评价,0,1
48,指环王2：双塔奇兵,2002,美国新西兰,剧情动作奇幻冒险,彼得·杰克逊,伊利亚·伍德/西恩...,承前启后的史诗篇章。,9.2,642131人评价,0,0
49,罗马假日,1953,美国,喜剧剧情爱情,威廉·惠勒,奥黛丽·赫本/格...,爱情哪怕只有一天。,9.1,834824人评价,0,0
50,钢琴家,2002,英国法国波兰德国,剧情传记战争音乐,罗曼·波兰斯基,艾德里安·布洛迪...,音乐能化解仇恨。,9.2,493163人评价,0,1
51,指环王1：护戒使者,2001,新西兰美国,剧情动作奇幻冒险,彼得·杰克逊,伊利亚·伍德/西恩...,传说的开始。,9.1,728414人评价,0,0
52,让子弹飞,2010,中国大陆中国香港,剧情喜剧动作西部,姜文,姜文/葛优/周润发-...,你给我翻译翻译，神马叫做TMD的惊喜。,8.9,1422784人评价,0,0
53,辩护人,2013,韩国,剧情,杨宇硕-,宋康昊-/金英爱-...,电影的现实意义大过电影本身。,9.2,517757人评价,0,0
54,大闹天宫,1961(中国大陆),1964(中国大陆),1978(中国大陆),万籁鸣,邱岳峰/富润生...,经典之作，历久弥新。,9.4,361151人评价,0,1
55,教父2,1974,美国,剧情犯罪,弗朗西斯·福特·科波拉,阿尔·帕西诺...,优雅的孤独。,9.2,457970人评价,0,0
56,狮子王,1994,美国,动画冒险歌舞,/罗伯·明可夫,乔纳森·泰勒·托马...,动物版《哈姆雷特》。,9.1,713498人评价,0,1
57,死亡诗社,1989,美国,剧情,彼得·威尔,罗宾·威廉姆斯/罗伯...,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,9.1,601133人评价,0,1
58,黑客帝国,1999,美国,动作科幻,安迪·沃卓斯基/拉娜·沃卓斯基主...,,视觉革命。,9.1,704080人评价,0,0
59,搏击俱乐部,1999,美国德国意大利,剧情动作悬疑惊悚,大卫·芬奇,爱德华·诺顿/布拉...,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,730087人评价,0,1
60,海蒂和爷爷,2015,德国瑞士,剧情冒险家庭,阿兰·葛斯彭纳,阿努克·斯特芬/...,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,9.3,423697人评价,0,0
61,绿皮书,2018,美国中国大陆,剧情喜剧传记音乐,彼得·法雷里,维果·莫腾森/...,去除成见，需要勇气。,8.9,1355318人评价,0,0
62,饮食男女,1994,中国台湾美国,剧情家庭,李安,郎雄/杨贵媚-/吴...,人生不能像做菜，把所有的料都准备好了才下锅。,9.1,515161人评价,0,1
63,美丽心灵,2001,美国,传记剧情,朗·霍华德,罗素·克劳/艾德·哈...,爱是一切逻辑和原由。,9.0,656226人评价,0,0
64,窃听风暴,2006,德国,剧情悬疑,弗洛里安·亨克尔·冯·多纳斯马尔克&...,,别样人生。,9.2,483071人评价,0,1
65,本杰明·巴顿奇事,2008,美国,剧情爱情奇幻,大卫·芬奇,凯特·布兰切特/...,在时间之河里感受溺水之苦。,8.9,848008人评价,0,1
66,两杆大烟枪,1998,英国,剧情喜剧犯罪,,//,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1,519772人评价,0,1
67,情书,1995,日本,剧情爱情,岩井俊二,中山美穗/丰川悦司...,暗恋的极致。,8.9,892982人评价,0,0
